"NAME","SIDE","STATUS","POINTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","GROUP","ID"
"Heels to the Heavens ","/","FREE","0","NO EQUIPMENT","L","2","3","L","FREE","65"
"ISO Reverse Crunches ","/","FREE","0","NO EQUIPMENT","L","1","2","L","FREE","66"
"Side Plank Rows","x2","PAID","5","RESISTANCE BAND","TDR, O","3","4","O","2","67"
"Hanging Headrush","/","PAID","5","RESISTANCE BAND","BUR, L","3","4","L","2","68"
"Hanging Headrush (single leg)","x2","PAID","4","RESISTANCE BAND","BUR, L","4","NA","L","2","69"
"Janda Crunches ","/","PAID","2","RESISTANCE BAND","T","2","3","T","1","70"
"Punches and Crunches ","/","PAID","2","RESISTANCE BAND","T,O","2","3","T","2","71"
"Frog Crunches ","/","PAID","1","NO EQUIPMENT","T","1","2","T","1","72"
"Jackknifes","/","FREE","0","NO EQUIPMENT","T","2","3","T","FREE","73"
"+21+ Crunch ","/","PAID","2","NO EQUIPMENT","M","2","3","M","2","74"
"Flutter Kicks","/","FREE","0","NO EQUIPMENT","L","1","2","L","FREE","75"
"Scissors","/","FREE","0","NO EQUIPMENT","L, O","1","2","L","FREE","76"
"Russian +V+ Tuck Twists","/","FREE","0","NO EQUIPMENT","M, TDR","2","3","M","FREE","77"
"Shin Scrapers","/","PAID","2","RESISTANCE BAND","T","2","3","T","2","78"
"Mountain Climbers ","/","FREE","0","NO EQUIPMENT","M","1","2","M","FREE","79"
"Drunken Mountain Climbers","/","PAID","2","NO EQUIPMENT","BUR, M","2","3","BUR","2","80"
"Seated Tornado Chops ","/","PAID","3","RESISTANCE BAND","TDR, O","3","4","TDR","2","81"
"The +Any Ball+ BTB Pass","x2","FREE","0","TENNIS BALL","TDR","1","2","TDR","FREE","82"
"The Kobe Crunch","/","PAID","2","NO EQUIPMENT","M","2","3","M","2","83"
"One Down Two Ups ","/","FREE","0","NO EQUIPMENT","L","3","4","L","FREE","84"
"+I Surrender+ Crunch ","/","PAID","5","NO EQUIPMENT","M","3","4","M","2","85"
"Figure 8’s","/","FREE","0","NO EQUIPMENT","BUR, L","3","4","BUR","FREE","86"
"Rolling Jackknifes ","/","PAID","2","NO EQUIPMENT","M","2","3","M","1","87"
"Prayer Crunch ","/","PAID","1","NO EQUIPMENT","T","1","2","T","1","88"
"Bent Knee Windshield Wipers ","/","FREE","0","NO EQUIPMENT","BUR","1","2","BUR","FREE","89"
"Legs Straight Windshield Wipers ","/","PAID","2","NO EQUIPMENT","BUR","2","3","BUR","2","90"
"Side Crunches ","x2","FREE","0","NO EQUIPMENT","O","1","2","O","FREE","91"
"Side Plank Lifts","x2","FREE","0","NO EQUIPMENT","O, BUR","1","2","O","FREE","92"
"Accordian Crunches","x2","PAID","2","NO EQUIPMENT","O","2","3","O","2","93"
"Seated Ab Circles","x2","FREE","0","NO EQUIPMENT","BUR, L","2","3","BUR","FREE","94"
"Muay Thai Crunch","/","PAID","1","RESISTANCE BAND","BUR, TDR","1","2","TDR","2","95"
"The Crucifix","/","PAID","2","RESISTANCE BAND","TDR, O","2","3","TDR","2","96"
"Hanging Pendulum Swings","/","PAID","3","CHINUP or HANGING BAR","BUR, L","3","4","L","2","97"
"Sledgehammer Swings","x2","PAID","2","NO EQUIPMENT","TDR, O","2","3","TDR","2","98"
"Rocky Reverse Crunches","/","PAID","5","NO EQUIPMENT","L","4","NA","L","2","99"
"Dueling Clocks","/","PAID","2","NO EQUIPMENT","M","2","3","M","1","100"
"Crunch and Twists ","/","FREE","0","NO EQUIPMENT","T, O","2","3","T","
FREE","101"
"Upper Circle Crunches","x2","FREE","0","NO EQUIPMENT","T, TDR","2","3","T","FREE","102"
"Crunch Pulldowns","/","PAID","2","RESISTANCE BAND","T","2","3","T","2","103"
"Hanging Corkscrews ","/","PAID","3","CHINUP or HANGING BAR","BUR, L","3","4","BUR","2","104"
"Hanging Long Leg Wipers ","/","PAID","4","CHINUP or HANGING BAR","BUR, L, O","4","NA","BUR","1","105"
